COD_ZONA,VIAGENS_ATRAIDAS_POR_MOTIVO,QTD
14,Trabalho Comércio,25038.735103828803
14,Trabalho Serviços,7211.408790117055
14,Educação,3630.664168177549
14,Compras,14503.627948555719
14,Saúde,366.5209122155786
14,Lazer,252.24379488090236
14,Procurar Emprego,1439.5865912817426
14,Assuntos Pessoais,1480.647439323675
14,Refeição,3675.1965577281057
15,Trabalho Indústria,4259.108145607139
15,Trabalho Comércio,7391.560360075674
15,Trabalho Serviços,11167.098445546435
15,Educação,2991.278547159012
15,Compras,4370.640741108065
15,Saúde,941.6391878408665
15,Lazer,211.2016870399566
15,Procurar Emprego,142.83090407996534
15,Assuntos Pessoais,3860.939890829358
15,Refeição,905.0252598638469
16,Trabalho Indústria,2305.250894805894
16,Trabalho Comércio,6690.223092001272
16,Trabalho Serviços,20291.509840628216
16,Educação,6571.531835241744
16,Compras,4687.448680006372
16,Saúde,831.7194520995282
16,Lazer,1039.2070140117655
16,Procurar Emprego,325.77438001192996
16,Assuntos Pessoais,4083.6070177170136
16,Refeição,1370.9104790143438
17,Trabalho Indústria,1102.2361880267215
17,Trabalho Comércio,9831.07348107628
17,Trabalho Serviços,5605.281838358198
17,Educação,9003.492816529606
17,Compras,2106.1519842704474
17,Saúde,713.6288403274598
17,Lazer,405.1085494120005
17,Procurar Emprego,0
17,Assuntos Pessoais,1650.9396041790123
17,Refeição,1089.3212086118394
18,Trabalho Indústria,10491.183499288627
18,Trabalho Comércio,10483.72431762881
18,Trabalho Serviços,21611.735109291516
18,Educação,14911.849200673016
18,Compras,2224.143008806914
18,Saúde,4081.5131032988747
18,Lazer,1799.6753459238937
18,Procurar Emprego,0
18,Assuntos Pessoais,4777.976445986127
18,Refeição,2855.855212299835
19,Trabalho Indústria,1885.6605802224276
19,Trabalho Comércio,6820.573111513617
19,Trabalho Serviços,19352.50013037216
19,Educação,16725.204193579197
19,Compras,1519.3055568749119
19,Saúde,8942.868114682618
19,Lazer,1421.3600549497862
19,Procurar Emprego,0
19,Assuntos Pessoais,1010.3802406768813
19,Refeição,224.97504690308986
20,Trabalho Indústria,1617.9306002423612
20,Trabalho Comércio,2937.9874192178436
20,Trabalho Serviços,11362.934686449078
20,Educação,13543.652068143641
20,Compras,3584.0012943549937
20,Saúde,2316.009148733854
20,Lazer,2816.863566120207
20,Procurar Emprego,614.7216974065723
20,Assuntos Pessoais,6177.262977836317
20,Refeição,1058.3173568614375
21,Trabalho Indústria,358.5994470965338
21,Trabalho Comércio,1491.63622191507
21,Trabalho Serviços,17275.90320377009
21,Educação,16064.797076116252
21,Compras,2631.415513718666
21,Saúde,2336.9964200140025
21,Lazer,1470.6667937459295
