COD_ZONA,VINCULO_EMPREGATICIO,QTD
70,...6,368.83750669642814
70,Profissional,976.54017510668496
70,Dono de,172.67172385393769
70,Trabalhador,0
70,...10,5702.73487481364
71,Assalariado...2,5453.6021510526298
71,Assalariado...3,841.92577705263079
71,Funcionário,170.06242199999983
71,...5,2709.2851714736826
71,...6,285.76804357894707
71,Profissional,4945.8304710789453
71,Dono de,1042.9853024999991
71,Trabalhador,135.1948449473683
71,...10,15584.6541836842
72,Assalariado...2,2534.8447817317483
72,Assalariado...3,80.834212886031793
72,Funcionário,127.23037628000007
72,...5,1129.3507927342866
72,...6,0
72,Profissional,516.54052915873046
72,Dono de,991.50766810952427
72,Trabalhador,155.51219707936517
72,...10,5535.82055797969
73,Assalariado...2,2851.3579491828664
73,Assalariado...3,204.12360750679215
73,Funcionário,202.74980851828636
73,...5,877.92680416718929
73,...6,0
73,Profissional,537.56505476698032
73,Dono de,413.49668474447412
73,Trabalhador,0
73,...10,5087.21990888659
74,Assalariado...2,3438.1218695697835
74,Assalariado...3,198.10309953734836
74,Funcionário,467.02987775159386
74,...5,916.19004453735056
74,...6,394.24086760509681
74,Profissional,1353.9028396884808
74,Dono de,398.12664002432041
74,Trabalhador,0
74,...10,7165.71523871397
75,Assalariado...2,2527.6246460309421
75,Assalariado...3,546.95631199613058
75,Funcionário,259.90520941843886
75,...5,1164.0833357272697
75,...6,768.28866712056481
75,Profissional,1480.0814835744634
75,Dono de,520.39816179110164
75,Trabalhador,0
75,...10,7267.33781565891
76,Assalariado...2,2184.3046451638147
76,Assalariado...3,449.09008698013059
76,Funcionário,374.49637595817211
76,...5,427.07804239525797
76,...6,406.50560837085919
76,Profissional,1894.2860197483378
76,Dono de,280.3727082694308
76,Trabalhador,0
76,...10,6016.133486886
77,Assalariado...2,5047.7774894334816
77,Assalariado...3,280.71378998496169
77,Funcionário,493.25213377443481
77,...5,2411.3060219236504
77,...6,947.59993472180304
77,Profissional,1637.8236553383413
77,Dono de,0
77,Trabalhador,0
77,...10,10818.4730251767
78,Assalariado...2,4496.7359696181065
78,Assalariado...3,265.81081737314582
78,Funcionário,544.99240334195542
78,...5,1266.781372630659
78,...6,526.20591622594179
78,Profissional,3859.1934696782055
78,Dono de,795.54826835146514
78,Trabalhador,0
78,...10,11755.2682172195
79,Assalariado...2,3017.4934575111506
79,Assalariado...3,232.59887460817851
79,Funcionário,396.20206533829014
79,...5,654.70801957620847
79,...6,397.07687724907078
79,Profissional,1618.5387829219342
79,Dono de,165.73165900371751
79,Trabalhador,0
79,...10,6482.34973620855
80,Assalariado...2,5183.5335747258014
80,Assalariado...3,345.45898926283991
80,Funcionário,672.37822050520424
80,...5,2680.428192778797
80,...6,61.903881161825886
80,Profissional,1538.8830531417609
80,Dono de,866.98589723692328
80,Trabalhador,0
80,...10,11349.5718088132
81,Assalariado...2,1882.9798768656724
81,Assalariado...3,449.15882985074649
81,Funcionário,177.33562985074633
81,...5,1766.7786289179112
81,...6,933.85509701492572
81,Profissional,1542.8831636194034
81,Dono de,737.19989626865708
81,Trabalhador,98.327600373134374
81,...10,7588.5187227612
82,Assalariado...2,2546.1116625416703
82,Assalariado...3,373.27204032828274
82,Funcionário,496.13956356818164
82,...5,1711.686855395202
82,...6,275.07313261237357
82,Profissional,548.65315497979782
82,Dono de,259.53752624368678
82,Trabalhador,123.98090409090902
82,...10,6334.4548397601
83,Assalariado...2,4857.1519550251542
83,Assalariado...3,304.93534455836954
83,Funcionário,629.59668970006976
83,...5,3531.8511402500221
83,...6,888.63910181602955
83,Profissional,1874.2534594666279
83,Dono de,243.94827564669563
83,Trabalhador,0
83,...10,12330.375966463
84,Assalariado...2,2785.9024188585327
84,Assalariado...3,256.95318246623935
84,Funcionário,1292.8045724405185
84,...5,1665.270787247887
84,...6,577.55371373633761
84,Profissional,1768.9316924311684
84,Dono de,220.61006231511374
84,Trabalhador,0
84,...10,8568.0264294958
85,Assalariado...2,1225.7040181215293
85,Assalariado...3,102.05644779166677
85,Funcionário,322.28287734027811
85,...5,221.79810612847237
85,...6,325.16606983680589
85,Profissional,674.69011210416761
85,Dono de,62.711599416666722
85,Trabalhador,35.966045184027813
85,...10,2970.37527592361
86,Assalariado...2,730.63865031901889
86,Assalariado...3,147.25193849079767
86,Funcionário,72.250382300613566
86,...5,662.63218021472426
86,...6,31.383303754601275
86,Profissional,296.73761707362007
86,Dono de,15.691651877300638
86,Trabalhador,0
86,...10,1956.58572403068
87,Assalariado...2,3720.4351252868328
87,Assalariado...3,445.32727150136492
87,Funcionário,824.23604700545513
87,...5,2399.2777968881187
87,...6,449.9705746711445
87,Profissional,1209.1868901738731
87,Dono de,204.1145896711426
87,Trabalhador,0
87,...10,9252.54829519793
88,Assalariado...2,9363.5626922721622
88,Assalariado...3,1968.2917099665126
88,Funcionário,3252.4169740982279
88,...5,3443.1132864210567
88,...6,2009.0429534359062
88,Profissional,6117.9368766150292
88,Dono de,2076.871889790526
88,Trabalhador,0
88,...10,28231.2363825994
89,Assalariado...2,2663.9571216666677
89,Assalariado...3,432.71878200000003
89,Funcionário,1035.9827851071429
89,...5,2418.6752814404763
89,...6,381.51272928571427
89,Profissional,1238.5433527500002
89,Dono de,197.34975375000002
89,Trabalhador,0
89,...10,8368.739806
90,Assalariado...2,2315.7177577848011
90,Assalariado...3,285.25100986760924
90,Funcionário,438.49519455087102
90,...5,2357.736690671245
90,...6,949.17006134511485
90,Profissional,940.93504847684926
90,Dono de,314.8175956782631
90,Trabalhador,0
90,...10,7602.12335837475
91,Assalariado...2,566.46210148570185
91,Assalariado...3,54.782221568880864
91,Funcionário,9.0181060377358602
91,...5,271.30060279564839
91,...6,27.283107272727275
91,Profissional,0
91,Dono de,48.020278244084651
91,Trabalhador,0
91,...10,976.866417404779
92,Assalariado...2,39.987578423077032
92,Assalariado...3,9.4570179230769487
92,Funcionário,7.8787422692307914
92,...5,77.939963307692523
92,...6,3.8105235000000106
92,Profissional,7.6210470000000212
92,Dono de,5.1311038846153991
92,Trabalhador,7.6210470000000212
92,...10,159.447023307693
93,Assalariado...2,1353.8397339191899
93,Assalariado...3,352.24358224111268
93,Funcionário,803.61609391834213
93,...5,828.07312644139631
93,...6,17.642306137096792
93,Profissional,541.39434590898657
93,Dono de,345.45685686422019
93,Trabalhador,0
93,...10,4242.26604543035
94,Assalariado...2,682.58897084762361
94,Assalariado...3,85.199425213420284
94,Funcionário,115.98882707548927
94,...5,697.25179416915205
94,...6,163.23007005405393
94,Profissional,399.87916536999046
94,Dono de,134.05723613233917
94,Trabalhador,0
94,...10,2278.19548886207
95,Assalariado...2,3724.6668884833416
95,Assalariado...3,425.96251180000104
95,Funcionário,859.8365739444456
95,...5,2295.9337655000045
95,...6,605.67453345000149
95,Profissional,1490.0416385944466
95,Dono de,180.05858990000044
95,Trabalhador,0
95,...10,9582.17450167224
96,Assalariado...2,1470.9947127777791
96,Assalariado...3,58.06240088888898
96,Funcionário,436.99185137777846
96,...5,737.04738645555653
96,...6,519.51795662222298
96,Profissional,672.3895045333345
96,Dono de,0
96,Trabalhador,0
96,...10,3895.00381265556
97,Assalariado...2,2987.375427516376
97,Assalariado...3,194.5707173026066
97,Funcionário,643.00264310614352
97,...5,1815.6459563024155
97,...6,352.60146407262425
97,Profissional,1296.1274350253211
97,Dono de,646.63327472178594
97,Trabalhador,228.17494080000009
97,...10,8164.13185884727
98,Assalariado...2,666.12358808888871
98,Assalariado...3,24.873388800000026
98,Funcionário,46.814764888888831
98,...5,261.61073576296269
98,...6,12.436694400000013
98,Profissional,59.251459288888839
98,Dono de,20.031872518518494
98,Trabalhador,0
98,...10,1091.14250374815
99,Assalariado...2,2156.2360572622597
99,Assalariado...3,258.09599440298484
99,Funcionário,84.296157283582019
99,...5,1245.4948228862829
99,...6,0
99,Profissional,0
99,Dono de,84.296157283582019
99,Trabalhador,0
99,...10,3828.41918911869
100,Assalariado...2,3133.4853437410543
100,Assalariado...3,660.33447001040986
100,Funcionário,669.68021194534799
100,...5,2463.5345435575787
100,...6,732.35792804163975
100,Profissional,2189.1968189889399
100,Dono de,382.4903484359142
100,Trabalhador,202.33416528301876
100,...10,10433.4138300039
101,Assalariado...2,4371.8557512499983
101,Assalariado...3,289.8205312500001
101,Funcionário,1649.1037098214279
101,...5,3329.9460599464278
101,...6,1185.9638774999994
101,Profissional,344.89874999999961
101,Dono de,0
101,Trabalhador,0
101,...10,11171.5886797679
102,Assalariado...2,2782.5503918384693
102,Assalariado...3,0
102,Funcionário,319.78703478264833
102,...5,2390.8467526010259
102,...6,437.75652161643802
102,Profissional,500.48991006849235
102,Dono de,461.44969106849271
102,Trabalhador,49.369675205479396
102,...10,6942.24997718105
103,Assalariado...2,476.48373725451529
103,Assalariado...3,101.1950867586207
103,Funcionário,186.21186189490973
103,...5,228.76493213793108
103,...6,43.911021717569795
103,Profissional,100.09066926436783
103,Dono de,109.6247654909688
103,Trabalhador,0
103,...10,1246.28207451888
104,Assalariado...2,1488.3368354142065
104,Assalariado...3,296.50747467341614
104,Funcionário,253.84982437407862
104,...5,387.58611590721438
104,...6,469.46332782326851
104,Profissional,563.72904742267724
