COD_ZONA,TIPO_RENDA,QTD
126,Familiar...3,3967.9097493769614
126,Per Capita,1282.0402170395196
126,Familiar...5,2800
127,Familiar...3,4256.023489466976
127,Per Capita,1478.1395179252556
127,Familiar...5,4442.6219037445335
128,Familiar...3,5491.195916128953
128,Per Capita,2063.0249038514885
128,Familiar...5,4500
129,Familiar...3,5091.432679498207
129,Per Capita,1959.6917526808518
129,Familiar...5,4700
130,Familiar...3,2797.2333570321734
130,Per Capita,776.6295744245882
130,Familiar...5,2201.7328755473914
131,Familiar...3,4077.2152523305244
131,Per Capita,1438.8213944812276
131,Familiar...5,3400
132,Familiar...3,0
132,Per Capita,0
132,Familiar...5,0
133,Familiar...3,7055.48457833536
133,Per Capita,2649.340240564309
133,Familiar...5,4949.292915471136
134,Familiar...3,5637.223223538206
134,Per Capita,1962.9666162999915
134,Familiar...5,4689.119012599244
135,Familiar...3,4992.3331768520065
135,Per Capita,2044.8620415529806
135,Familiar...5,4442.6219037445335
136,Familiar...3,4184.433030882596
136,Per Capita,1442.1328499659733
136,Familiar...5,3254
137,Familiar...3,4116.801101376254
137,Per Capita,1314.4122924563192
137,Familiar...5,3778.188723137328
138,Familiar...3,3298.7623454632944
138,Per Capita,1024.888734695355
138,Familiar...5,2700
139,Familiar...3,3650.20898460118
139,Per Capita,1222.2918120733755
139,Familiar...5,3000
140,Familiar...3,3332.5081697344485
140,Per Capita,1068.785252147443
140,Familiar...5,3000
141,Familiar...3,3613.761496352893
141,Per Capita,1213.515035395542
141,Familiar...5,3573.0467752365626
142,Familiar...3,2631.490424182792
142,Per Capita,804.0799250640525
142,Familiar...5,2500
143,Familiar...3,0
143,Per Capita,0
143,Familiar...5,0
144,Familiar...3,4804.488323936628
144,Per Capita,1676.9241030992657
144,Familiar...5,3391.4064624103316
145,Familiar...3,5116.823323214814
145,Per Capita,1798.578595536049
145,Familiar...5,4442.6219037445335
146,Familiar...3,0
146,Per Capita,0
146,Familiar...5,0
147,Familiar...3,4105.471843552114
