COD_ZONA,VIAGENS_ATRAIDAS_POR_TIPO,QTD
181,Modo Não Motorizado,26605.68228012739
182,Coletivo,25008.170778993033
182,Individual,15375.206082665718
182,Modo Motorizado,40383.37686165875
182,Modo Não Motorizado,25070.738262886094
183,Coletivo,27748.614504114557
183,Individual,20858.536142342335
183,Modo Motorizado,48607.150646456896
183,Modo Não Motorizado,19100.247916513348
184,Coletivo,10781.993603872897
184,Individual,10935.87065884855
184,Modo Motorizado,21717.864262721447
184,Modo Não Motorizado,21194.31173789496
185,Coletivo,12411.043242652066
185,Individual,5792.711165674974
185,Modo Motorizado,18203.75440832704
185,Modo Não Motorizado,11688.24916906353
186,Coletivo,8926.579336956169
186,Individual,2926.8122603099546
186,Modo Motorizado,11853.391597266123
186,Modo Não Motorizado,5531.894018662556
187,Coletivo,22645.096524063323
187,Individual,12183.27656012329
187,Modo Motorizado,34828.37308418661
187,Modo Não Motorizado,28324.842308685453
188,Coletivo,32658.82021025003
188,Individual,21315.23785732818
188,Modo Motorizado,53974.05806757821
188,Modo Não Motorizado,23185.607468402744
189,Coletivo,31814.005556023163
189,Individual,28625.643903546505
189,Modo Motorizado,60439.64945956967
189,Modo Não Motorizado,31511.467190495958
190,Coletivo,38215.382857188655
190,Individual,24497.395338128514
190,Modo Motorizado,62712.778195317165
190,Modo Não Motorizado,20953.74827202687
191,Coletivo,20304.62257033437
191,Individual,6495.515541490894
191,Modo Motorizado,26800.138111825265
191,Modo Não Motorizado,1575.24012849787
192,Coletivo,19155.144826108306
192,Individual,9647.375707662253
192,Modo Motorizado,28802.52053377056
192,Modo Não Motorizado,22754.04964001217
193,Coletivo,12977.960401464732
193,Individual,9296.458433863103
193,Modo Motorizado,22274.418835327837
193,Modo Não Motorizado,14980.72121323805
194,Coletivo,14504.371361811844
194,Individual,3560.9554402325793
194,Modo Motorizado,18065.326802044423
194,Modo Não Motorizado,16252.779325041087
195,Coletivo,20136.52709238126
195,Individual,8593.461016494413
195,Modo Motorizado,28729.988108875674
195,Modo Não Motorizado,19545.379791443593
196,Coletivo,21528.156309988146
196,Individual,8470.404809132306
196,Modo Motorizado,29998.56111912045
196,Modo Não Motorizado,20651.67171808806
197,Coletivo,20972.115161188787
197,Individual,13614.767783783314
197,Modo Motorizado,34586.8829449721
197,Modo Não Motorizado,15222.847858573736
198,Coletivo,46703.158447344416
198,Individual,28016.19522565508
198,Modo Motorizado,74719.3536729995
198,Modo Não Motorizado,27080.143859310276
199,Coletivo,38424.75036734161
199,Individual,36798.50379340568
199,Modo Motorizado,75223.25416074728
199,Modo Não Motorizado,88348.01971208167
200,Coletivo,14351.414382056932
