COD_ZONA,TEMPO_MEDIO_VIAGEM,QTD
142,A pé,9.70622797752326
142,Bicicleta,0
143,Coletivo,0
143,Individual,0
143,A pé,0
143,Bicicleta,0
144,Coletivo,49.65664655236588
144,Individual,31.343820843248906
144,A pé,13.277793654696099
144,Bicicleta,0
145,Coletivo,46.99297672392336
145,Individual,18.965759277803055
145,A pé,7.378449137460281
145,Bicicleta,40
146,Coletivo,0
146,Individual,0
146,A pé,0
146,Bicicleta,0
147,Coletivo,46.88122696462848
147,Individual,20.662712932820167
147,A pé,11.497934224769523
147,Bicicleta,60
148,Coletivo,43.67518127600941
148,Individual,18.22818629576089
148,A pé,13.42473858648447
148,Bicicleta,30
149,Coletivo,0
149,Individual,60
149,A pé,0
149,Bicicleta,30
150,Coletivo,57.52545976942191
150,Individual,29.64175124952138
150,A pé,12.799840601157007
150,Bicicleta,0
151,Coletivo,62.97815576126861
151,Individual,17.396210384471047
151,A pé,11.970371302428271
151,Bicicleta,36.842320568790974
152,Coletivo,44.120060629773846
152,Individual,22.73887701442608
152,A pé,11.648854947317144
152,Bicicleta,20
153,Coletivo,48.188368613211566
153,Individual,28.3267458973967
153,A pé,9.934863277454427
153,Bicicleta,0
154,Coletivo,52.899190409971304
154,Individual,23.34388742326729
154,A pé,11.00766621202276
154,Bicicleta,0
155,Coletivo,45.24855799925681
155,Individual,26.516697545485293
155,A pé,15.158144474334723
155,Bicicleta,15
156,Coletivo,49.14717004861359
156,Individual,18.825276422605242
156,A pé,11.151078168807258
156,Bicicleta,38.22639776742764
157,Coletivo,57.02932105821138
157,Individual,17.726134478073057
157,A pé,9.8746228926916
157,Bicicleta,15
158,Coletivo,48.323360175327466
158,Individual,29.623695159352472
158,A pé,16.079501329799577
158,Bicicleta,15
159,Coletivo,48.18008301221865
159,Individual,21.983681504259003
159,A pé,8.320901028716662
159,Bicicleta,0
160,Coletivo,45.87064619776818
160,Individual,26.569893355605714
160,A pé,17.03849878369539
160,Bicicleta,0
161,Coletivo,69.79085383353228
161,Individual,25.41942864358127
161,A pé,8.767371349180722
161,Bicicleta,9.854735794653589
162,Coletivo,61.79581701310249
162,Individual,30.516070463881423
162,A pé,13.7844865598077
162,Bicicleta,17.98265638232381
163,Coletivo,51.771217359735154
163,Individual,21.273122298083663
163,A pé,12.084129192913819
163,Bicicleta,9.86069811139209
164,Coletivo,75.1903117244536
164,Individual,46.87255465465041
164,A pé,13.620238366579134
164,Bicicleta,15.532822439213865
165,Coletivo,60.32430818649815
165,Individual,31.054565270343453
165,A pé,7.5935639273305195
165,Bicicleta,10
166,Coletivo,62.156479959823855
166,Individual,27.815105439849034
166,A pé,14.243840358263663
166,Bicicleta,0
167,Coletivo,68.22893926377934
167,Individual,32.87865421933866
167,A pé,11.449952059491652
167,Bicicleta,20
168,Coletivo,65.85385495419489
168,Individual,29.725681404423586
168,A pé,12.1557750496849
168,Bicicleta,0
169,Coletivo,68.45602957178257
169,Individual,24.031955455611104
169,A pé,10.762423591070005
169,Bicicleta,10
170,Coletivo,53.931149578260744
170,Individual,36.47710656553516
170,A pé,14.545748144539186
170,Bicicleta,14.46945097827065
171,Coletivo,50.497164696751675
171,Individual,25.6985530750657
171,A pé,13.08492020059105
171,Bicicleta,0
172,Coletivo,49.984873538989284
172,Individual,21.3703606734689
172,A pé,15.7066302415855
172,Bicicleta,20
173,Coletivo,63.147752370719125
173,Individual,24.503570405617577
173,A pé,12.61063763486881
173,Bicicleta,20
174,Coletivo,53.087234233658165
174,Individual,29.813927260256502
174,A pé,11.166074983359543
174,Bicicleta,15
175,Coletivo,47.70320465354689
175,Individual,20.00013139147023
175,A pé,11.724962556920271
175,Bicicleta,0
176,Coletivo,48.60524703356676
176,Individual,24.34518672501496
176,A pé,13.699425908542956
176,Bicicleta,0
177,Coletivo,46.71736461270141
177,Individual,26.5986067144251
177,A pé,10.392182827766506
177,Bicicleta,25.662174493508978
178,Coletivo,71.95931847999005
178,Individual,101.6789089358641
178,A pé,14.868742797825309
178,Bicicleta,0
179,Coletivo,0
179,Individual,0
179,A pé,0
179,Bicicleta,0
180,Coletivo,57.21031487795655
180,Individual,26.673404090870335
180,A pé,13.142041043756704
180,Bicicleta,16.642568010300785
181,Coletivo,53.65966391098472
181,Individual,20.513707351373927
181,A pé,16.512896998530675
181,Bicicleta,15
182,Coletivo,47.1985685036476
182,Individual,29.30147150177431
182,A pé,12.605905709760856
182,Bicicleta,42.51447041166317
183,Coletivo,59.595502917737534
183,Individual,19.86596294131656
183,A pé,13.598278660880842
183,Bicicleta,5
184,Coletivo,59.93202317398051
184,Individual,23.39150154756115
184,A pé,10.743754619137322
184,Bicicleta,10
185,Coletivo,52.29918522255568
185,Individual,33.744246231382725
185,A pé,11.131097450648232
185,Bicicleta,0
186,Coletivo,57.35371840587363
186,Individual,29.387909485152697
186,A pé,12.224916776083923
186,Bicicleta,0
187,Coletivo,69.55894340789338
187,Individual,24.155335607470438
187,A pé,11.961432844831567
187,Bicicleta,12.575237725353983
188,Coletivo,48.880666841039655
188,Individual,25.279507121777968
188,A pé,14.2279963471898
188,Bicicleta,60
189,Coletivo,56.66875784091278
189,Individual,16.876214028385693
189,A pé,13.45581664494361
189,Bicicleta,0
190,Coletivo,47.74195358666923
190,Individual,26.640369782043674
190,A pé,15.155410254292805
190,Bicicleta,0
191,Coletivo,51.71578500349632
191,Individual,45.57846546428236
191,A pé,16.01227031299916
191,Bicicleta,0
192,Coletivo,54.380277724244806
192,Individual,28.080121110097902
192,A pé,12.443181750413423
192,Bicicleta,0
193,Coletivo,61.821319548036975
193,Individual,26.673529921640824
193,A pé,17.551775755822582
193,Bicicleta,66.4863931330411
194,Coletivo,56.07017256038288
194,Individual,34.29045730393115
194,A pé,10.197396980473423
194,Bicicleta,0
195,Coletivo,67.6328705031149
195,Individual,16.655102166332334
195,A pé,11.615909666573266
195,Bicicleta,0
196,Coletivo,56.332324769289706
196,Individual,22.254433751056826
196,A pé,13.109313065479641
196,Bicicleta,37.5
197,Coletivo,56.42862405975689
197,Individual,21.572160986206434
197,A pé,13.438103511349949
197,Bicicleta,15
198,Coletivo,51.26991188573255
198,Individual,22.31711307784527
198,A pé,11.727518610657285
198,Bicicleta,15
199,Coletivo,56.06957798513841
199,Individual,18.544706716887003
199,A pé,8.317212023314285
199,Bicicleta,10
200,Coletivo,73.32923548748506
200,Individual,29.127717202522078
200,A pé,11.320751478364391
200,Bicicleta,16.170265875194666
201,Coletivo,60.04260145213204
201,Individual,22.424750863835918
201,A pé,11.419871253001519
201,Bicicleta,10
202,Coletivo,67.6783744823127
202,Individual,21.52778563295071
202,A pé,12.809070778425871
202,Bicicleta,15
203,Coletivo,65.15956592393563
203,Individual,33.92876880652441
203,A pé,13.774656055525224
203,Bicicleta,0
204,Coletivo,71.83117647240489
204,Individual,21.01109176719259
204,A pé,14.269457329419636
204,Bicicleta,7.76035471360122
205,Coletivo,83.11885650413255
205,Individual,31.012566257965283
205,A pé,10.227409439392884
205,Bicicleta,58.4419744277737
206,Coletivo,53.20894133443358
206,Individual,20.112378197715813
206,A pé,13.758195089061838
206,Bicicleta,13.658852378326287
207,Coletivo,64.3134599577148
207,Individual,34.38647218825971
207,A pé,14.86747572420132
207,Bicicleta,5
208,Coletivo,57.84009170884872
208,Individual,23.649985038204278
208,A pé,12.587026142164605
208,Bicicleta,21.233383012582195
209,Coletivo,53.33568172212179
209,Individual,23.342732628536677
209,A pé,12.53145175183234
209,Bicicleta,0
210,Coletivo,65.35084619210936
210,Individual,23.112875829389008
210,A pé,13.440980288618466
210,Bicicleta,20
211,Coletivo,46.26963649177208
211,Individual,20.457724064445053
211,A pé,11.307015165593052
211,Bicicleta,22.918894505164698
212,Coletivo,56.942094218935715
212,Individual,19.702398201159614
212,A pé,11.459790760712217
212,Bicicleta,0
213,Coletivo,55.15795384568767
213,Individual,23.275706203069387
213,A pé,11.112816096384828
213,Bicicleta,0
214,Coletivo,48.78040159446299
214,Individual,24.721141497792214
214,A pé,12.20841239377135
214,Bicicleta,20
215,Coletivo,49.4840641670952
215,Individual,18.943871143170913
215,A pé,12.985753095196557
215,Bicicleta,0
216,Coletivo,47.10785055814742
216,Individual,23.617462143277333
216,A pé,13.223294428861383
216,Bicicleta,0
217,Coletivo,50.60589772566622
217,Individual,22.184332966072066
217,A pé,12.958207334921818
217,Bicicleta,0
218,Coletivo,53.41128634206973
218,Individual,22.391945076116468
218,A pé,12.416874092847527
218,Bicicleta,0
219,Coletivo,61.5586978749353
219,Individual,14.42093921209249
219,A pé,7.678145081605049
219,Bicicleta,10
220,Coletivo,54.72094707811471
220,Individual,19.2862853533651
220,A pé,17.408780178007667
220,Bicicleta,60
221,Coletivo,56.86067922188238
221,Individual,19.032881253321285
221,A pé,11.294696560245717
221,Bicicleta,35
222,Coletivo,58.46008952408717
222,Individual,20.571745391334826
222,A pé,12.050646895247755
222,Bicicleta,0
223,Coletivo,63.95724801494524
223,Individual,17.48229368223819
223,A pé,14.673957845254337
223,Bicicleta,0
224,Coletivo,82.16200904865346
