COD_ZONA,MODO_PRINCIPAL,QTD
30,Dirigindo moto,1433.3994021027368
30,Passageiro de moto,0
30,Bicicleta,1457.4467333863786
30,A pé,19816.42083279806
30,Outros,0
31,Metrô,37022.199299409214
31,Trem,804.1388029511709
31,Ônibus,22508.46997801986
31,Transporte fretado,791.1052875103865
31,Transporte escolar,1364.0439506443563
31,Dirigindo automóvel,15599.393696543231
31,Passageiro de automóvel,6352.689323497782
31,Táxi convencional,699.2528897479269
31,Táxi não convencional,2706.183511497032
31,Dirigindo moto,1584.2699911359252
31,Passageiro de moto,0
31,Bicicleta,208.34557004429692
31,A pé,29020.305308211442
31,Outros,371.4880174633648
32,Metrô,41749.97950871298
32,Trem,766.9341901411259
32,Ônibus,19607.525797874805
32,Transporte fretado,0
32,Transporte escolar,730.2537994296434
32,Dirigindo automóvel,13432.72706213866
32,Passageiro de automóvel,2218.177707558941
32,Táxi convencional,593.88487185223
32,Táxi não convencional,629.7854328355426
32,Dirigindo moto,513.5443413342327
32,Passageiro de moto,0
32,Bicicleta,286.9748201043202
32,A pé,31603.60356217736
32,Outros,0
33,Metrô,1551.7237368173191
33,Trem,324.1769064273398
33,Ônibus,888.6048210045404
33,Transporte fretado,0
33,Transporte escolar,139.63769757037812
33,Dirigindo automóvel,1078.3472270791024
33,Passageiro de automóvel,177.85270720417935
33,Táxi convencional,256.65577880569015
33,Táxi não convencional,348.9611440512494
33,Dirigindo moto,673.239053478539
33,Passageiro de moto,0
33,Bicicleta,53.37396212177585
33,A pé,1436.541650763753
33,Outros,0
34,Metrô,4003.9111350211524
34,Trem,272.8584560420426
34,Ônibus,2675.762160285392
34,Transporte fretado,0
34,Transporte escolar,443.5671905840808
34,Dirigindo automóvel,10014.747365034198
34,Passageiro de automóvel,5763.817436693982
34,Táxi convencional,512.1627385750332
34,Táxi não convencional,867.9880183869211
34,Dirigindo moto,52.47019498435251
34,Passageiro de moto,0
34,Bicicleta,155.0999745950173
34,A pé,7094.769990649269
34,Outros,0
35,Metrô,26168.592401570302
35,Trem,2395.7226449490163
35,Ônibus,18061.43316851863
35,Transporte fretado,0
35,Transporte escolar,384.41863788527814
35,Dirigindo automóvel,16533.665063046155
35,Passageiro de automóvel,4394.560402187294
35,Táxi convencional,983.2208803423374
35,Táxi não convencional,398.1803243691654
35,Dirigindo moto,69.26661992953372
35,Passageiro de moto,0
35,Bicicleta,394.00477428515626
35,A pé,43699.357036041016
35,Outros,852.4756080373392
36,Metrô,27244.29562145185
36,Trem,2756.7778897549338
36,Ônibus,18145.13810939277
36,Transporte fretado,504.21996456526193
36,Transporte escolar,543.6721194964972
36,Dirigindo automóvel,20491.745932256057
36,Passageiro de automóvel,8127.808571651348
36,Táxi convencional,2071.1992951506168
36,Táxi não convencional,2253.565461567051
36,Dirigindo moto,1619.554852361435
36,Passageiro de moto,0
36,Bicicleta,1188.5591830153985
36,A pé,27701.42752348937
36,Outros,0
37,Metrô,4097.177965264981
37,Trem,4705.687660402967
37,Ônibus,6565.770530782915
37,Transporte fretado,451.0789542049592
37,Transporte escolar,125.98382895981113
37,Dirigindo automóvel,6331.190215397396
37,Passageiro de automóvel,3850.282714679363
37,Táxi convencional,118.80806159163012
37,Táxi não convencional,174.63730639449108
37,Dirigindo moto,1126.3956685710762
37,Passageiro de moto,0
37,Bicicleta,1181.249739313285
37,A pé,5046.195994926581
37,Outros,0
38,Metrô,1180.5344378328773
38,Trem,0
38,Ônibus,1635.1085438858959
