COD_ZONA,VIAGENS_ATRAIDAS_MODO_PRINCIPAL,QTD
36,Transporte fretado,504.219964565262
36,Transporte escolar,990.030663918655
36,Dirigindo automóvel,20979.6727150757
36,Passageiro de automóvel,8372.38103406102
36,Táxi convencional,2002.66540316949
36,Táxi não convencional,2940.44530092757
36,Dirigindo moto,1619.55485236143
36,Passageiro de moto,0
36,Bicicleta,1243.64645705181
36,A pé,27628.512619924
36,Outros,0
37,Metrô,3483.70820247337
37,Trem,3976.54710959503
37,Ônibus,7676.9438995031
37,Transporte fretado,451.078954204959
37,Transporte escolar,482.86038735735
37,Dirigindo automóvel,6445.44177461885
37,Passageiro de automóvel,3227.89031699484
37,Táxi convencional,37.1809166523989
37,Táxi não convencional,254.805519382228
37,Dirigindo moto,1126.39566857108
37,Passageiro de moto,0
37,Bicicleta,1245.50490257626
37,A pé,5142.48766542869
37,Outros,0
38,Metrô,1116.08124540225
38,Trem,0
38,Ônibus,1708.22991514182
38,Transporte fretado,0
38,Transporte escolar,441.102937694184
38,Dirigindo automóvel,3334.98994554867
38,Passageiro de automóvel,272.976987044631
38,Táxi convencional,52.8172663088305
38,Táxi não convencional,53.2969845213563
38,Dirigindo moto,351.792673259657
38,Passageiro de moto,0
38,Bicicleta,0
38,A pé,4799.20085289789
38,Outros,23.8773828228429
39,Metrô,4278.61588771072
39,Trem,1023.52629520316
39,Ônibus,8402.57596274767
39,Transporte fretado,97.3797400310876
39,Transporte escolar,828.147067348876
39,Dirigindo automóvel,5149.59287039959
39,Passageiro de automóvel,1751.17287749128
39,Táxi convencional,0
39,Táxi não convencional,77.8760233720267
39,Dirigindo moto,286.771049019772
39,Passageiro de moto,0
39,Bicicleta,7.43471027767542
39,A pé,3678.60381277244
39,Outros,0
40,Metrô,11958.2272001597
40,Trem,376.649714362765
40,Ônibus,9736.07089118706
40,Transporte fretado,0
40,Transporte escolar,824.884620532773
40,Dirigindo automóvel,5880.88831873438
40,Passageiro de automóvel,2713.52921243739
40,Táxi convencional,0
40,Táxi não convencional,164.522924214877
40,Dirigindo moto,427.485980798361
40,Passageiro de moto,0
40,Bicicleta,80.4481625425079
40,A pé,10791.7479741152
40,Outros,0
41,Metrô,14034.305707808
41,Trem,2614.52487127369
41,Ônibus,12205.0229737795
41,Transporte fretado,0
41,Transporte escolar,2402.69130144348
41,Dirigindo automóvel,13188.3349132615
41,Passageiro de automóvel,6209.43905964676
41,Táxi convencional,104.396249483702
41,Táxi não convencional,559.856072755609
41,Dirigindo moto,1518.43307920004
41,Passageiro de moto,0
41,Bicicleta,197.832913828765
41,A pé,27949.1602649137
41,Outros,0
42,Metrô,2933.99159680373
42,Trem,3163.80989825177
42,Ônibus,8045.40810126596
42,Transporte fretado,0
42,Transporte escolar,486.856759226098
42,Dirigindo automóvel,4263.21789404214
42,Passageiro de automóvel,2877.22438839403
42,Táxi convencional,79.2297777731012
42,Táxi não convencional,531.95896966384
42,Dirigindo moto,71.6321484685288
42,Passageiro de moto,0
42,Bicicleta,721.236097834082
42,A pé,6053.20901830713
42,Outros,23.8773828228429
43,Metrô,30767.0675638397
43,Trem,2447.70315641174
43,Ônibus,28425.1325521769
43,Transporte fretado,97.5122719434218
43,Transporte escolar,1550.73426420653
43,Dirigindo automóvel,15045.8810905672
43,Passageiro de automóvel,6860.60782592813
43,Táxi convencional,351.524925565012
