COD_ZONA,ENDERECO_EMPREGOS,QTD
98,Empregos Sem Endereço Fixo(**),93.62952977777766
99,Empregos em Endereço Fixo(*),21985.3411172385
99,Empregos na Própria Residência,472.28090994171964
99,Empregos Sem Endereço Fixo(**),478.6012357103764
100,Empregos em Endereço Fixo(*),36646.30959297789
100,Empregos na Própria Residência,2034.3384802784647
100,Empregos Sem Endereço Fixo(**),1736.4765292387767
101,Empregos em Endereço Fixo(*),7921.668452600057
101,Empregos na Própria Residência,1692.512139348214
101,Empregos Sem Endereço Fixo(**),1376.6538080357145
102,Empregos em Endereço Fixo(*),6356.362676247496
102,Empregos na Própria Residência,972.6688769333325
102,Empregos Sem Endereço Fixo(**),847.0920785683778
103,Empregos em Endereço Fixo(*),2668.4762514086638
103,Empregos na Própria Residência,139.89609732348114
103,Empregos Sem Endereço Fixo(**),113.58133539244663
104,Empregos em Endereço Fixo(*),2606.031620167739
104,Empregos na Própria Residência,715.838384229746
104,Empregos Sem Endereço Fixo(**),295.03103223711173
105,Empregos em Endereço Fixo(*),14504.521318916859
105,Empregos na Própria Residência,1425.6932966806598
105,Empregos Sem Endereço Fixo(**),582.4948568875564
106,Empregos em Endereço Fixo(*),20690.859877721865
106,Empregos na Própria Residência,106.16151744959453
106,Empregos Sem Endereço Fixo(**),156.67862528269615
107,Empregos em Endereço Fixo(*),11238.691411866805
107,Empregos na Própria Residência,1065.5767506027328
107,Empregos Sem Endereço Fixo(**),541.0296873378898
108,Empregos em Endereço Fixo(*),14589.58013415847
108,Empregos na Própria Residência,326.74034624090893
108,Empregos Sem Endereço Fixo(**),628.0988400094406
109,Empregos em Endereço Fixo(*),21632.20716961182
109,Empregos na Própria Residência,5305.582683153363
109,Empregos Sem Endereço Fixo(**),7447.322580049809
110,Empregos em Endereço Fixo(*),10302.138683180123
110,Empregos na Própria Residência,4149.901982704102
110,Empregos Sem Endereço Fixo(**),2668.5703235433652
111,Empregos em Endereço Fixo(*),12118.924493749648
111,Empregos na Própria Residência,1938.28665037169
111,Empregos Sem Endereço Fixo(**),3669.656643764284
112,Empregos em Endereço Fixo(*),8663.03900990288
112,Empregos na Própria Residência,1830.6082032324457
112,Empregos Sem Endereço Fixo(**),3390.578670671151
113,Empregos em Endereço Fixo(*),16309.042677681635
113,Empregos na Própria Residência,429.22185296123166
113,Empregos Sem Endereço Fixo(**),1633.5522239894678
114,Empregos em Endereço Fixo(*),210.67466585714286
114,Empregos na Própria Residência,0
114,Empregos Sem Endereço Fixo(**),0
115,Empregos em Endereço Fixo(*),6677.752308655572
115,Empregos na Própria Residência,2287.2674701216947
115,Empregos Sem Endereço Fixo(**),3819.7987110952445
116,Empregos em Endereço Fixo(*),17805.538930475217
116,Empregos na Própria Residência,4354.572706671734
116,Empregos Sem Endereço Fixo(**),10023.270376079245
117,Empregos em Endereço Fixo(*),9363.4638790528
117,Empregos na Própria Residência,5313.640788254905
117,Empregos Sem Endereço Fixo(**),1861.2182185098045
118,Empregos em Endereço Fixo(*),2052.027499918297
118,Empregos na Própria Residência,758.5685866686674
118,Empregos Sem Endereço Fixo(**),1196.142418882357
119,Empregos em Endereço Fixo(*),6269.36822511117
119,Empregos na Própria Residência,2696.4368527613633
119,Empregos Sem Endereço Fixo(**),5002.972692062498
120,Empregos em Endereço Fixo(*),0
120,Empregos na Própria Residência,0
120,Empregos Sem Endereço Fixo(**),0
121,Empregos em Endereço Fixo(*),6495.166337806394
121,Empregos na Própria Residência,2303.4385595581393
121,Empregos Sem Endereço Fixo(**),6891.939333606167
122,Empregos em Endereço Fixo(*),3827.001680677507
122,Empregos na Própria Residência,2895.520007616279
122,Empregos Sem Endereço Fixo(**),2886.9976209836796
123,Empregos em Endereço Fixo(*),3836.6239744276886
123,Empregos na Própria Residência,3349.120464066662
123,Empregos Sem Endereço Fixo(**),2422.1555131333307
124,Empregos em Endereço Fixo(*),10477.801027612717
124,Empregos na Própria Residência,4391.426294260311
124,Empregos Sem Endereço Fixo(**),2789.2698604329903
125,Empregos em Endereço Fixo(*),5991.264469559611
125,Empregos na Própria Residência,2195.6995256479627
125,Empregos Sem Endereço Fixo(**),4182.810543584638
126,Empregos em Endereço Fixo(*),8976.402976541945
126,Empregos na Própria Residência,622.6266506233419
126,Empregos Sem Endereço Fixo(**),2430.5233558247014
127,Empregos em Endereço Fixo(*),17207.597438367884
127,Empregos na Própria Residência,1000.1311244306416
127,Empregos Sem Endereço Fixo(**),1681.2885169792958
128,Empregos em Endereço Fixo(*),13578.382074594345
128,Empregos na Própria Residência,67.60034023529413
128,Empregos Sem Endereço Fixo(**),46.25032328440377
129,Empregos em Endereço Fixo(*),14056.89519113733
129,Empregos na Própria Residência,177.65262654300486
129,Empregos Sem Endereço Fixo(**),223.72683703765227
130,Empregos em Endereço Fixo(*),3582.0459170961717
130,Empregos na Própria Residência,103.78507294208498
130,Empregos Sem Endereço Fixo(**),172.9406157374518
131,Empregos em Endereço Fixo(*),10677.616157082028
131,Empregos na Própria Residência,84.93503999999996
