COD_ZONA,TIPO_VIAGEM,QTD
77,Modo Não Motorizado,20821.4214126354
78,Coletivo,20990.682255177533
78,Individual,22412.47550004558
78,Modo Motorizado,43403.15775522312
78,Modo Não Motorizado,14816.399512181215
79,Coletivo,62268.930879274725
79,Individual,34715.09956921643
79,Modo Motorizado,96984.03044849116
79,Modo Não Motorizado,28407.25301682251
80,Coletivo,32730.179516912394
80,Individual,24305.468036644474
80,Modo Motorizado,57035.64755355687
80,Modo Não Motorizado,23812.291994099996
81,Coletivo,35258.2244833453
81,Individual,32349.499810083402
81,Modo Motorizado,67607.7242934287
81,Modo Não Motorizado,19813.199801074756
82,Coletivo,82419.55553084002
82,Individual,47170.11483572594
82,Modo Motorizado,129589.67036656596
82,Modo Não Motorizado,34252.493098370636
83,Coletivo,36362.65034067257
83,Individual,31073.853174353615
83,Modo Motorizado,67436.50351502618
83,Modo Não Motorizado,22719.45906366077
84,Coletivo,16453.740372874832
84,Individual,24539.45678757882
84,Modo Motorizado,40993.19716045365
84,Modo Não Motorizado,13595.157989865611
85,Coletivo,7483.831545782513
85,Individual,8753.465704156735
85,Modo Motorizado,16237.297249939249
85,Modo Não Motorizado,4129.540702685396
86,Coletivo,4606.49646535722
86,Individual,3860.289266020314
86,Modo Motorizado,8466.785731377533
86,Modo Não Motorizado,1861.2258118596233
87,Coletivo,16757.87804790121
87,Individual,19365.906458566395
87,Modo Motorizado,36123.78450646761
87,Modo Não Motorizado,8380.34380935596
88,Coletivo,24778.781213979928
88,Individual,48055.219625755446
88,Modo Motorizado,72834.00083973538
88,Modo Não Motorizado,31119.435750763114
89,Coletivo,8373.527319507131
89,Individual,8652.941746086863
89,Modo Motorizado,17026.469065593992
89,Modo Não Motorizado,3592.7041049212967
90,Coletivo,11251.820888865985
90,Individual,23236.26190478475
90,Modo Motorizado,34488.082793650734
90,Modo Não Motorizado,10574.875644854534
91,Coletivo,42866.906976873826
91,Individual,13614.85238797636
91,Modo Motorizado,56481.759364850186
91,Modo Não Motorizado,4992.920613797434
92,Coletivo,13322.698964834559
92,Individual,9496.063274379112
92,Modo Motorizado,22818.76223921367
92,Modo Não Motorizado,8698.049390464432
93,Coletivo,85968.32805263891
93,Individual,20237.276301819682
93,Modo Motorizado,106205.6043544586
93,Modo Não Motorizado,13711.41046108285
94,Coletivo,24240.473840708146
94,Individual,16506.059579077668
94,Modo Motorizado,40746.53341978582
94,Modo Não Motorizado,13076.228408072824
95,Coletivo,11893.409827763358
95,Individual,21653.211711514094
95,Modo Motorizado,33546.621539277454
95,Modo Não Motorizado,8963.474593897385
96,Coletivo,12703.918205943033
96,Individual,17044.595731267967
96,Modo Motorizado,29748.513937211
96,Modo Não Motorizado,4178.74318668434
97,Coletivo,15249.114257710695
97,Individual,21429.691867880316
97,Modo Motorizado,36678.806125591014
97,Modo Não Motorizado,7097.4147660983
98,Coletivo,8982.886163263393
98,Individual,4522.799407373098
98,Modo Motorizado,13505.685570636491
98,Modo Não Motorizado,2296.6271198772974
99,Coletivo,22913.5284558079
99,Individual,15893.754597316994
99,Modo Motorizado,38807.28305312489
99,Modo Não Motorizado,4828.392806037914
100,Coletivo,81495.48150614806
100,Individual,46952.37779055198
100,Modo Motorizado,128447.85929670004
100,Modo Não Motorizado,21223.145845333067
101,Coletivo,17026.083887518787
101,Individual,23312.666541009312
101,Modo Motorizado,40338.7504285281
101,Modo Não Motorizado,7204.202321365042
102,Coletivo,12179.572659079759
102,Individual,15394.654688752838
102,Modo Motorizado,27574.227347832595
102,Modo Não Motorizado,4172.8956034721905
103,Coletivo,5347.024090681712
103,Individual,5309.141123910532
103,Modo Motorizado,10656.165214592244
103,Modo Não Motorizado,833.1995655590703
104,Coletivo,6643.456724558613
