COD_ZONA,NUMERO_AUTOMOVEIS,QTD
100,...6,7393.999999999999
101,Nenhum Automóvel,3102.832582625116
101,1 Automóvel,3783.5573654390905
101,2 Automóveis,1359.6943578847968
101,3 Automóveis ou Mais,107.91569405099146
101,...6,8353.999999999995
102,Nenhum Automóvel,533.9859650965399
102,1 Automóvel,2724.1538340991274
102,2 Automóveis,1335.2489042399147
102,3 Automóveis ou Mais,211.55247303500818
102,...6,4804.94117647059
103,Nenhum Automóvel,202.806338028169
103,1 Automóvel,524.6919014084506
103,2 Automóveis,154.431338028169
103,3 Automóveis ou Mais,7.070422535211269
103,...6,888.9999999999998
104,Nenhum Automóvel,316.7413279565092
104,1 Automóvel,1318.4457421421366
104,2 Automóveis,874.5958984699023
104,3 Automóveis ou Mais,254.21703143145197
104,...6,2764.0000000000005
105,Nenhum Automóvel,378.11757891876135
105,1 Automóvel,3468.477159747373
105,2 Automóveis,1324.8044565008718
105,3 Automóveis ou Mais,147.6008048329872
105,...6,5318.999999999994
106,Nenhum Automóvel,791.2673469897917
106,1 Automóvel,311.7326530102087
106,2 Automóveis,0
106,3 Automóveis ou Mais,0
106,...6,1103.0000000000005
107,Nenhum Automóvel,618.4734436334481
107,1 Automóvel,4137.286367280644
107,2 Automóveis,971.8868399954183
107,3 Automóveis ou Mais,88.3533490904926
107,...6,5816.000000000004
108,Nenhum Automóvel,551.3262691625106
108,1 Automóvel,506.1205729948266
108,2 Automóveis,86.91679420629919
108,3 Automóveis ou Mais,0
108,...6,1144.3636363636365
109,Nenhum Automóvel,15879.392531013751
109,1 Automóvel,21027.01814319194
109,2 Automóveis,2481.589325794303
109,3 Automóveis ou Mais,0
109,...6,39387.99999999999
110,Nenhum Automóvel,8426.807342065094
110,1 Automóvel,8405.861009507376
110,2 Automóveis,902.6049788685048
110,3 Automóveis ou Mais,428.7266695590269
110,...6,18164.000000000004
111,Nenhum Automóvel,7924.838095238093
111,1 Automóvel,7318.947619047617
111,2 Automóveis,2537.214285714286
111,3 Automóveis ou Mais,0
111,...6,17780.999999999996
112,Nenhum Automóvel,5901.500724637682
112,1 Automóvel,4440.934057971016
112,2 Automóveis,715.5652173913045
112,3 Automóveis ou Mais,0
112,...6,11058.000000000002
113,Nenhum Automóvel,2356.1590909090905
113,1 Automóvel,4084.5681818181824
113,2 Automóveis,1637.272727272727
113,3 Automóveis ou Mais,0
113,...6,8078
114,Nenhum Automóvel,0
114,1 Automóvel,0
114,2 Automóveis,0
114,3 Automóveis ou Mais,0
114,...6,0
115,Nenhum Automóvel,9335.091681226562
115,1 Automóvel,4397.4208896963455
115,2 Automóveis,1038.6345820895185
115,3 Automóveis ou Mais,375.8528469875728
115,...6,15146.999999999998
116,Nenhum Automóvel,26727.1692574749
116,1 Automóvel,20736.41441549742
116,2 Automóveis,2295.4191225579116
116,3 Automóveis ou Mais,230.96766337618612
116,...6,49989.97045890642
117,Nenhum Automóvel,10398.478930261188
117,1 Automóvel,10051.409926822198
117,2 Automóveis,1063.7778095832782
117,3 Automóveis ou Mais,0
117,...6,21513.666666666664
118,Nenhum Automóvel,2199.525581395349
118,1 Automóvel,2550.3395348837216
118,2 Automóveis,508.82790697674415
118,3 Automóveis ou Mais,133.30697674418604
118,...6,5392
119,Nenhum Automóvel,14594.576255573416
119,1 Automóvel,10832.287025428981
119,2 Automóveis,1308.1367189976097
119,3 Automóveis ou Mais,0
119,...6,26735.000000000007
120,Nenhum Automóvel,0
120,1 Automóvel,0
120,2 Automóveis,0
120,3 Automóveis ou Mais,0
120,...6,0
121,Nenhum Automóvel,15816.340883937684
121,1 Automóvel,10833.191819056558
121,2 Automóveis,344.23364850288067
121,3 Automóveis ou Mais,344.23364850288067
121,...6,27338
122,Nenhum Automóvel,10380.321428571428
122,1 Automóvel,4343.392857142857
122,2 Automóveis,704.2857142857142
122,3 Automóveis ou Mais,0
122,...6,15427.999999999998
123,Nenhum Automóvel,16406.291697039815
123,1 Automóvel,6477.358517568318
123,2 Automóveis,0
123,3 Automóveis ou Mais,539.4370869791854
123,...6,23423.08730158732
124,Nenhum Automóvel,9616.556953646177
124,1 Automóvel,11273.638839573703
124,2 Automóveis,502.80420678011086
124,3 Automóveis ou Mais,0
124,...6,21392.99999999999
125,Nenhum Automóvel,8457.451855371768
125,1 Automóvel,8603.588439783865
125,2 Automóveis,348.8503534142943
125,3 Automóveis ou Mais,163.4903038110336
125,...6,17573.38095238096
126,Nenhum Automóvel,4045.811594202898
126,1 Automóvel,5047.050724637683
126,2 Automóveis,1609.8043478260872
126,3 Automóveis ou Mais,308.3333333333333
126,...6,11011.000000000002
127,Nenhum Automóvel,7472.266666666667
127,1 Automóvel,8145.770370370372
127,2 Automóveis,2869.2222222222226
127,3 Automóveis ou Mais,246.74074074074073
127,...6,18734.000000000004
128,Nenhum Automóvel,287.9200000000001
128,1 Automóvel,361.5400000000002
128,2 Automóveis,24.54
128,3 Automóveis ou Mais,0
128,...6,674.0000000000002
129,Nenhum Automóvel,816.2520685010581
129,1 Automóvel,806.789263036367
129,2 Automóveis,145.95866846257456
129,3 Automóveis ou Mais,0
129,...6,1768.9999999999995
130,Nenhum Automóvel,681.1111111111109
130,1 Automóvel,211.6666666666667
130,2 Automóveis,8.11111111111111
130,3 Automóveis ou Mais,8.11111111111111
130,...6,908.9999999999998
131,Nenhum Automóvel,220.27267326732678
131,1 Automóvel,185.20396039603966
131,2 Automóveis,27.52336633663367
131,3 Automóveis ou Mais,0
131,...6,433.0000000000001
132,Nenhum Automóvel,0
132,1 Automóvel,0
132,2 Automóveis,0
132,3 Automóveis ou Mais,0
132,...6,0
133,Nenhum Automóvel,5647.117241379309
133,1 Automóvel,5072.689655172413
133,2 Automóveis,2822.468965517241
133,3 Automóveis ou Mais,141.72413793103448
133,...6,13683.999999999998
134,Nenhum Automóvel,3136.1597218413826
134,1 Automóvel,4927.0423912635615
134,2 Automóveis,1974.7978868950547
134,3 Automóveis ou Mais,0
134,...6,10037.999999999998
135,Nenhum Automóvel,5912.827442988439
135,1 Automóvel,8473.30859231262
135,2 Automóveis,1132.2118775680167
135,3 Automóveis ou Mais,113.23542046425068
135,...6,15631.583333333327
136,Nenhum Automóvel,4278.984274193548
136,1 Automóvel,5401.660887096772
136,2 Automóveis,1398.9354838709678
136,3 Automóveis ou Mais,145.41935483870967
136,...6,11224.999999999998
137,Nenhum Automóvel,7383.585023033286
137,1 Automóvel,7691.551014604753
137,2 Automóveis,1722.30491276712
137,3 Automóveis ou Mais,264.55904959484604
137,...6,17062.000000000004
138,Nenhum Automóvel,1120.3216783216785
138,1 Automóvel,1207.4475524475522
138,2 Automóveis,112.6923076923077
138,3 Automóveis ou Mais,0
138,...6,2440.461538461538
139,Nenhum Automóvel,3671.9181818181814
139,1 Automóvel,4109.4000000000015
139,2 Automóveis,358.6818181818182
139,3 Automóveis ou Mais,0
139,...6,8140.000000000001
140,Nenhum Automóvel,7220.15812106518
140,1 Automóvel,7477.248239828918
140,2 Automóveis,501.5936391058963
140,3 Automóveis ou Mais,0
140,...6,15198.999999999995
141,Nenhum Automóvel,13133.205735177939
141,1 Automóvel,10960.784498309267
141,2 Automóveis,2527.2002427032708
