COD_ZONA,MOTIVO_VIAGEM,QTD
28,Saúde,4660.801923477255
28,Lazer,3220.003671247639
28,Procurar Emprego,1152.2369963999677
28,Assuntos Pessoais,4674.504937865655
28,Refeição,3833.865793369116
29,Trabalho Indústria,2303.0078681239484
29,Trabalho Comércio,6855.192177490229
29,Trabalho Serviços,46822.146442758865
29,Educação,11250.164501882562
29,Compras,2736.9609060675784
29,Saúde,9441.401295894077
29,Lazer,5092.448602496627
29,Procurar Emprego,82.70030214028792
29,Assuntos Pessoais,4433.411011223548
29,Refeição,5920.405424899599
30,Trabalho Indústria,1369.8255404768902
30,Trabalho Comércio,3677.37521389383
30,Trabalho Serviços,23910.897377585774
30,Educação,12067.015371469688
30,Compras,3623.0949544607174
30,Saúde,5042.495346930384
30,Lazer,6711.8178612893425
30,Procurar Emprego,55.244963798585104
30,Assuntos Pessoais,4432.389396301633
30,Refeição,2224.8163533817133
31,Trabalho Indústria,795.1083125713307
31,Trabalho Comércio,2244.2268269980227
31,Trabalho Serviços,42253.53342116913
31,Educação,43370.739460736775
31,Compras,3737.8695046712
31,Saúde,10271.297477247777
31,Lazer,4619.2529130070025
31,Procurar Emprego,56.15959880772378
31,Assuntos Pessoais,7702.979607261784
31,Refeição,3980.718504205202
32,Trabalho Indústria,4288.475895940278
32,Trabalho Comércio,8627.724618087052
32,Trabalho Serviços,53604.43866305291
32,Educação,19870.322411352285
32,Compras,1384.1345451434738
32,Saúde,3248.9150303443625
32,Lazer,5859.196100022926
32,Procurar Emprego,36.4255434239194
32,Assuntos Pessoais,4362.93767613788
32,Refeição,10850.820610654808
33,Trabalho Indústria,71.28135855149989
33,Trabalho Comércio,160.29811561688632
33,Trabalho Serviços,3246.6452002347687
33,Educação,1831.1057256343313
33,Compras,132.91092659515877
33,Saúde,556.8566890031011
33,Lazer,241.30061339273365
33,Procurar Emprego,271.76032025957846
33,Assuntos Pessoais,196.5893707928131
33,Refeição,220.3663652429957
34,Trabalho Indústria,630.4652941016716
34,Trabalho Comércio,322.61541035205005
34,Trabalho Serviços,13506.96755865424
34,Educação,8731.622787852079
34,Compras,938.6018465396073
34,Saúde,4229.521175487143
34,Lazer,1747.7168553605907
34,Procurar Emprego,0
34,Assuntos Pessoais,1162.1621604477343
34,Refeição,587.4815720563204
35,Trabalho Indústria,3715.5472744907593
35,Trabalho Comércio,5518.694424270345
35,Trabalho Serviços,57591.825917605005
35,Educação,22093.723016075284
35,Compras,4784.577333528308
35,Saúde,3221.2614132734784
35,Lazer,7577.893195132562
