COD_ZONA,RAZAO_VIAGEM_A_PE,QTD
49,Condução Demora para Passar,0
49,Viagem Demorada,0
49,Condução Lotada,0
49,Atividade Física,767.3661277991102
49,Outros Motivos,0
50,Pequena Distância,2564.3874592561306
50,Condução Cara,16.583586900003276
50,Ponto/ Estação Distante,35.05534131019025
50,Condução Demora para Passar,0
50,Viagem Demorada,0
50,Condução Lotada,0
50,Atividade Física,170.58673513329597
50,Outros Motivos,0
51,Pequena Distância,5838.209639162774
51,Condução Cara,0
51,Ponto/ Estação Distante,0
51,Condução Demora para Passar,0
51,Viagem Demorada,0
51,Condução Lotada,0
51,Atividade Física,103.82361255561248
51,Outros Motivos,0
52,Pequena Distância,6110.449998759934
52,Condução Cara,746.1743442141806
52,Ponto/ Estação Distante,0
52,Condução Demora para Passar,0
52,Viagem Demorada,0
52,Condução Lotada,0
52,Atividade Física,147.9985985026185
52,Outros Motivos,0
53,Pequena Distância,9385.549062361071
53,Condução Cara,495.08051937169654
53,Ponto/ Estação Distante,0
53,Condução Demora para Passar,0
53,Viagem Demorada,0
53,Condução Lotada,0
53,Atividade Física,462.57683826122417
53,Outros Motivos,0
54,Pequena Distância,19666.26469177758
54,Condução Cara,0
54,Ponto/ Estação Distante,73.51076920678226
54,Condução Demora para Passar,0
54,Viagem Demorada,0
54,Condução Lotada,0
54,Atividade Física,451.23817902756764
54,Outros Motivos,0
55,Pequena Distância,5826.214003369173
55,Condução Cara,0
55,Ponto/ Estação Distante,0
55,Condução Demora para Passar,0
55,Viagem Demorada,0
55,Condução Lotada,0
55,Atividade Física,618.407285062686
55,Outros Motivos,0
56,Pequena Distância,17656.38878223679
56,Condução Cara,279.96501463255714
56,Ponto/ Estação Distante,0
56,Condução Demora para Passar,0
56,Viagem Demorada,0
56,Condução Lotada,0
56,Atividade Física,1069.046965110822
56,Outros Motivos,35.98290256083297
57,Pequena Distância,26833.24761337245
57,Condução Cara,0
57,Ponto/ Estação Distante,0
57,Condução Demora para Passar,203.07288149770608
57,Viagem Demorada,0
57,Condução Lotada,134.25711697387902
57,Atividade Física,1760.108833194038
57,Outros Motivos,21.361657251874895
58,Pequena Distância,12187.239371678335
58,Condução Cara,406.04086563394674
58,Ponto/ Estação Distante,0
58,Condução Demora para Passar,0
58,Viagem Demorada,0
58,Condução Lotada,0
58,Atividade Física,740.1017325998439
58,Outros Motivos,0
59,Pequena Distância,43533.393810304355
59,Condução Cara,0
59,Ponto/ Estação Distante,267.2735335026364
59,Condução Demora para Passar,0
59,Viagem Demorada,0
59,Condução Lotada,0
59,Atividade Física,3333.6950719209117
59,Outros Motivos,0
60,Pequena Distância,8236.978385889788
60,Condução Cara,0
60,Ponto/ Estação Distante,0
60,Condução Demora para Passar,0
