COD_ZONA,EMPREGO_EXTERNO_INTERNO,QTD
152,Trabalho Externo(*),1472.3362876512608
152,Trabalho Interno,13100.377840736543
153,Trabalho Externo(*),811.4420126572045
153,Trabalho Interno,9953.708725900135
154,Trabalho Externo(*),3166.3737281692506
154,Trabalho Interno,13995.410543363692
155,Trabalho Externo(*),1024.25033859556
155,Trabalho Interno,5295.783778321491
156,Trabalho Externo(*),1314.6584007781632
156,Trabalho Interno,16296.39252387094
157,Trabalho Externo(*),1455.7046481932116
157,Trabalho Interno,5529.642501697014
158,Trabalho Externo(*),1229.7696500090904
158,Trabalho Interno,6697.995556735813
159,Trabalho Externo(*),5464.699067997346
159,Trabalho Interno,23738.0913700682
160,Trabalho Externo(*),2251.469235587523
160,Trabalho Interno,10445.128459841457
161,Trabalho Externo(*),5081.806822799037
161,Trabalho Interno,28123.78491859047
162,Trabalho Externo(*),2609.7045222798015
162,Trabalho Interno,15213.411419624123
163,Trabalho Externo(*),3725.596264522744
163,Trabalho Interno,13593.894604164863
164,Trabalho Externo(*),2723.0228089703483
164,Trabalho Interno,7782.995002802565
165,Trabalho Externo(*),1148.521165421696
165,Trabalho Interno,13183.989377776299
166,Trabalho Externo(*),3367.6163471588934
166,Trabalho Interno,26985.252727400697
167,Trabalho Externo(*),3891.504957337676
167,Trabalho Interno,33601.957402524145
168,Trabalho Externo(*),1536.6104419840126
168,Trabalho Interno,20621.90414212783
169,Trabalho Externo(*),1221.2332552723876
169,Trabalho Interno,17806.67997256043
170,Trabalho Externo(*),2256.7652341196053
170,Trabalho Interno,17610.67998881461
171,Trabalho Externo(*),1170.238577989637
171,Trabalho Interno,13640.150039664806
172,Trabalho Externo(*),947.3761739698389
172,Trabalho Interno,10460.47078943163
173,Trabalho Externo(*),420.59806079120864
173,Trabalho Interno,8600.283679469343
174,Trabalho Externo(*),558.536657222222
174,Trabalho Interno,9547.433998600529
175,Trabalho Externo(*),1818.5330155809886
175,Trabalho Interno,8256.682256265663
176,Trabalho Externo(*),2563.4957344272443
176,Trabalho Interno,16113.839538193553
177,Trabalho Externo(*),559.2827867567576
177,Trabalho Interno,1335.1738702947487
178,Trabalho Externo(*),0
178,Trabalho Interno,1288.6441311551255
179,Trabalho Externo(*),0
179,Trabalho Interno,0
180,Trabalho Externo(*),1020.0182751884774
180,Trabalho Interno,13425.130821497085
181,Trabalho Externo(*),2068.379759972284
181,Trabalho Interno,10650.400241591267
182,Trabalho Externo(*),1031.1340505495618
182,Trabalho Interno,16022.951422066417
183,Trabalho Externo(*),1146.1929892142855
183,Trabalho Interno,6662.038391531907
184,Trabalho Externo(*),479.56507160227284
184,Trabalho Interno,4497.317895979167
185,Trabalho Externo(*),1122.3621049950855
185,Trabalho Interno,3892.953312052348
186,Trabalho Externo(*),459.0535446191286
186,Trabalho Interno,2194.754871854155
187,Trabalho Externo(*),1311.6741377328583
187,Trabalho Interno,8646.901765769651
188,Trabalho Externo(*),1068.0062414499998
188,Trabalho Interno,7231.005646368423
